idx,file,T,image_key,image_shape,qpos_key,qpos_shape,qpos_dim,action_key,action_shape,action_dim,num_datasets,status
43,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_48.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
44,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_49.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
45,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_5.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
46,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_50.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
47,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_51.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
48,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_52.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
49,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_53.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
50,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_54.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
51,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_55.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
52,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_56.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
53,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_57.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
54,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_58.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
55,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_59.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
56,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_6.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
57,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_60.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
58,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_61.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
59,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_62.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
60,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_63.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
61,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_64.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
62,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_65.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
63,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_66.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
64,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_67.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
65,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_68.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
